"N_mean","N_median","N95","N05"
5596.30197160741,5455.95312766903,7586.29114081362,4068.89240108332
5005.99569209817,4840.52988490016,7096.14265030794,3472.94614860237
4416.84567098495,4234.2433781982,6557.42183559648,2899.28585083662
4573.29094354187,4353.93257466852,6943.99486500535,2930.11371151367
4617.8772623518,4447.35437324411,7721.34126952325,2279.03908005786
4899.57356221342,4673.66059932813,7305.64490765388,3227.83358993671
4364.07679149911,4144.55533483714,6810.35932230625,2696.6419645913
5233.75318956612,5060.38096622195,7388.14085840609,3665.148371321
4202.90671520194,4005.79944025866,6257.024985133,2801.67825287513
3350.72755085073,3075.74850936005,5716.37595008562,1897.02197470404
