"N_mean","N_median","N95","N05"
77259.7687904678,76483.3423900179,94140.6439341793,62983.4523892702
74616.4887065053,74026.4455149195,89971.3931783513,61200.9148044004
71379.0289304442,70774.2473886235,85140.8866977927,59704.5430685198
71162.5439621174,70653.1510214969,84581.5733632513,59586.5608958791
65294.9148561684,64780.9380611164,77764.9054863925,54526.7673108392
59658.1272736581,59174.5689870195,71447.2381518147,49512.3331819337
59054.1107342055,58620.8165376751,71137.6246535565,48496.908220423
60787.5145257561,60340.6487749932,73826.7640987863,49347.8062481979
66201.2151350726,65662.7641919289,79401.8321952899,54947.5245631743
68153.6640025851,67372.8329497347,82284.1477978131,56371.4091708247
