"aice_nonbreed","aice_arrival","aice_incubation","aice_rearing"
0.860522328185532,0.902516691821285,0.921861003373636,0.919998700259765
0.848345761263963,0.893361228310423,0.9034335337922,0.893855537539276
0.66315282597393,0.889144462519559,0.919199923376124,0.908461043106525
0.732496487370907,0.89430323454505,0.90664581621164,0.896344073704979
0.854588333264799,0.927572788297912,0.938980200010584,0.912357416280835
0.867010968722138,0.934714453218956,0.902990131127402,0.902665890492987
0.772352082925187,0.92562708356801,0.904770269065976,0.864422389699015
0.750180423725723,0.903524824292181,0.935327463197206,0.900300115472525
0.773081131886469,0.908208977002441,0.945767498722807,0.725298126823486
0.506147788137589,0.937397088070709,0.943267936505684,0.928071589827395
0.847349777092199,0.906536403415165,0.894400927309821,0.92657835390738
0.895075567350461,0.944694481929395,0.955361274901957,0.933966906770683
0.932732241054568,0.956517221934214,0.942128340954415,0.920151692872562
0.874380152550216,0.927290874548371,0.93573583435718,0.841769415124701
0.537646947733226,0.909466951163587,0.926779225330157,0.89432253667601
0.838713298540561,0.928548389841169,0.938779426914388,0.918867992465596
0.796320570044932,0.94490577793082,0.922273046959081,0.901275365284719
0.776416326831563,0.942209995915939,0.939914004279884,0.920602685000823
0.854491477136937,0.920356041988253,0.932236888319293,0.880684105233458
0.567822923196562,0.854783474317155,0.893921762435837,0.908865297829151
0.686305461259731,0.918088720818942,0.937249862833827,0.897837299007219
0.753157061450028,0.925870979101642,0.922673335249115,0.891130267984407
0.85400269362327,0.912145350190924,0.903631227942162,0.843723532921094
0.597821980748884,0.935103417857767,0.95693453511933,0.920151469455196
0.815287727824228,0.924453798259473,0.936682914801381,0.930010312535059
0.922977566741816,0.925377115461074,0.95458069109416,0.927148560830164
0.893186326548845,0.938237667560066,0.951346336562086,0.920019553942187
0.76696722563876,0.868426828703527,0.908997733275112,0.89223542727337
0.806622299801148,0.911501185441078,0.943608432176464,0.936682799153213
0.88413740673889,0.93077200942161,0.939543710408333,0.906065791048439
0.785034043032082,0.956088371565035,0.953427558158384,0.946376264077788
0.93270905264344,0.934398685175398,0.932907786687997,0.891373978774977
0.844029393292647,0.928783772582875,0.939633405287317,0.923633519991547
0.840385031511362,0.922191414888078,0.946409589271308,0.932197093866136
0.88151713247711,0.912467588105556,0.935392026806535,0.93540612958029
0.936050029789352,0.94278007045272,0.956904335469172,0.940001749684633
0.902380372871062,0.906890248773852,0.945726080778779,0.932216072107258
0.91714897918801,0.939715957289335,0.926234079300172,0.896453615177182
0.904641381091276,0.867612766011498,0.916422225402145,0.922816663062482
0.90181599192716,0.913347735471786,0.920457962352114,0.911271530491952
