"Year","Mean_perc_change","Median_perc_change","LCI_perc_change","UCI_perc_change"
1921,14.2588276915913,18.0169508885387,-26.0154027153908,43.1212414742363
1922,18.0423406671753,19.4422446019024,-12.9959891316262,43.3568316462781
1923,22.5617208102579,21.9756471736801,0.364452985403108,47.7332623296139
1924,25.7222069735216,23.7274435066349,6.47253458259379,55.804410980447
1925,27.5907388622301,25.007136699328,8.35911519676083,61.4471468009679
1926,27.986477830007,25.4924745557813,8.57611474023614,62.9812249941424
1927,28.1273624528145,25.2820501442801,9.00274683756045,62.8704857756317
1928,27.8866657579059,24.8089139720152,8.67586188698661,64.3937093858069
1929,27.8074455559458,24.7619543492581,8.73706204183705,63.9433094996597
1930,27.9064683108493,25.0859825816667,9.21426022903562,61.4271856599059
1931,27.7775698880954,25.0002856442959,9.02628560128657,60.6154977427267
1932,28.2835077514945,25.4101702998803,8.89491339106557,64.5934991252865
1933,28.5397727839751,25.2658158580318,8.95023518062698,66.1853336327864
1934,28.8342383470425,25.7540215458181,9.4996962078434,64.299532971848
1935,28.923568551021,25.7187733458048,8.95052222866133,65.6752601122996
1936,29.1322540385712,25.400838042881,9.36979073643416,67.2977652923338
1937,29.3805298868,25.7108924559909,9.22313056050753,67.059247777892
1938,29.2943134940471,25.1144694727806,9.35589358726067,68.7750333670232
1939,29.4495098980681,25.4187749054311,9.30698443237078,68.3209854116483
1940,29.8457181884302,25.5374707539218,9.39700816721818,69.2477435287179
1941,29.2359725280647,24.9834327148838,8.59284194900669,68.8674748997761
1942,28.8172949840442,24.1135766740032,8.95777915046702,69.8116603406348
1943,28.837252120925,24.4331930271618,8.56623587885736,68.4645819951193
1944,28.8658413316646,24.3321415846217,7.83061329405181,70.0502966484597
1945,28.7330944251328,23.966974207677,8.02213245930433,70.5388195708022
1946,29.1006876894661,24.1313762666045,7.57267397709001,70.6526063462997
1947,29.0791374024389,23.946335208125,8.27478864269714,70.5347192958356
1948,29.1429954400089,24.4574444745903,7.83347391180491,71.2893070805163
1949,29.5344078059377,24.5044092514809,8.01366660438453,71.7727831681948
1950,29.8413978250981,24.4023181987571,7.91517242594506,74.3880985261281
1951,29.8491646046982,24.6141992534975,7.85289214525793,72.7596329051398
1952,29.8383158143812,24.4838932028568,7.36582313321898,73.7577357068045
1953,29.8939274349287,24.3984490880897,7.83887638688937,73.9179562176423
1954,29.832505103455,24.4304022239403,8.08568403054622,73.2902765736359
1955,30.1357841488544,24.1939804981476,7.7707690102655,73.2672456452331
1956,30.3235338120643,24.3674224324903,7.68326479457874,75.6009108319424
1957,30.2401330112158,24.0637429293892,7.56874681917645,75.6011739668201
1958,30.4322892578828,24.0756370254829,7.20233491063944,75.7631865034409
1959,30.4439172595448,24.0241241852685,7.52656117011727,76.8865629063971
1960,30.0203013454176,23.1990913723851,7.41029597099592,75.8256096702457
1961,30.1504414281131,23.469475491562,7.07810697668906,76.6830274027148
1962,29.8639031955288,23.2635204794275,7.23957360711218,74.8444991297378
1963,29.3704676562098,22.712575701057,6.79843885625019,74.5474389989368
1964,29.9147081217674,23.0395601756475,7.27006304826638,75.1443540680967
1965,30.3369410147961,23.6559121001977,7.22213345898806,76.3317662361465
1966,30.6778603375688,23.5499009997547,7.40212677907635,75.8940529963436
1967,30.5117204106808,23.3806009216251,7.41297056460864,76.0895533771815
1968,31.0253985761613,24.2463725429241,7.56101149855152,75.5429608393932
1969,30.5670686927554,24.0292326223205,7.35470127901397,74.2809497973873
1970,30.7445685835132,23.7038812785661,7.22138889547409,73.6115040840071
1971,30.3020863638159,23.6547394500907,7.30769277775425,73.1639316503564
1972,30.5507505628151,23.5024408358466,6.35200819387272,73.4497837543668
1973,29.7588194474191,23.3268055700792,5.82637396101157,72.7380262807464
1974,29.7303765704086,23.1585341083099,5.13850340153624,72.1937363961122
1975,29.2413512235488,22.575553032974,5.29124336879397,71.8638960526951
1976,28.5321014012164,21.5847384348988,5.30122011729862,69.8354382873912
1977,27.9449583061103,20.9699693416416,4.99675549284244,70.3829146568601
1978,27.5981546219234,20.1499600600834,5.20185468132073,69.4304876658431
1979,27.6308772677455,20.336345365277,5.23865259417898,68.1983496207648
1980,26.9365426277786,20.043963836022,5.00384557148543,68.3346354971593
1981,26.6452774470564,19.5047678025507,4.13555587988276,66.7084110133478
1982,25.8190649563518,18.5074887324104,4.19035287671728,65.4510667611235
1983,25.5646246230089,18.7107925453692,3.71127147965299,64.8468409455093
1984,25.3552208578118,18.7765999281032,3.70785749579924,63.8845638400591
1985,24.8680453281263,18.3140044543317,2.70535215535643,62.737209696225
1986,24.6717152903865,18.1479603196838,2.19453493062974,61.669624190503
1987,23.9133326611135,17.7063904898945,1.74517939268829,61.0705808812896
1988,22.7433684430408,16.6824170844355,0.582554357383726,59.7886357013708
1989,21.9401024527169,15.8696137502467,0.0627818842117975,58.3680197290787
1990,21.0730484403493,15.2388370628755,-0.574827545620829,57.5135690186836
1991,20.31313347874,14.825283139421,-1.15171531273604,55.3639546175595
1992,19.7259265406316,14.4105320446298,-1.52372349026136,54.7064422106721
1993,19.0174345430098,13.7677918877912,-1.84601443444544,53.9756927070753
1994,17.9453664336489,12.5725316019755,-1.36258809891992,52.4518872425458
1995,16.9977764262554,12.213112800824,-2.11057732997611,50.3506908222329
1996,16.230673912133,11.4585430603583,-2.7349006309514,48.7789760601745
1997,15.4772948495612,11.1992855914391,-3.58979595527759,46.9607846170031
1998,14.3019756653143,10.5000749265987,-4.42203417922547,45.0217471247663
1999,13.2971647977566,9.86242139619424,-4.46155450532871,43.2805099313963
2000,12.3211631930324,9.08420310842297,-4.50811819518463,41.2345373414907
2001,11.6606557155422,8.72547024740974,-4.6220002178145,39.0305199863378
2002,10.5150568270796,7.78508163253427,-4.63655552229357,36.1526871841745
2003,9.76132962077614,7.36560503050599,-5.33655786588338,33.6578861188642
2004,8.85892360628674,6.43676650354071,-5.92495285924467,32.5280457363498
2005,7.80668925270076,5.92375585661536,-5.51972719496734,28.3058405266211
2006,7.13199226650283,5.70098549735968,-5.9685812495509,25.2600916673645
2007,5.95221544551569,4.96364227675785,-5.80743538955818,21.8998633618729
2008,5.10550161326262,4.38051705682282,-6.0503128064904,19.4095902844718
2009,4.09446278487647,3.43696645051032,-5.5575350875315,16.5180313965269
2010,3.16601820009882,2.86746518920062,-4.99472464887719,13.1833338760339
2011,2.31192851437072,2.17055987206916,-5.08368382254261,10.4958134840973
2012,1.24671747421275,1.21245775577236,-4.91407377534214,7.25927438540278
2013,0.379636018482875,0.277839413855377,-4.84788444101217,6.00372623345667
2014,-0.405391387958537,-0.429107804968347,-5.7492739347498,5.44571089282094
