"5%","50%","95%"
13077.7142346036,17001.5124644905,22746.1699965702
15788.6034164021,20077.9661147211,26398.223410447
22374.0232696898,28366.0454244284,37970.7049224379
61845.8530643936,81222.9333647434,107330.514180117
54093.6682255652,64054.1800971961,76561.1678159322
14671.1026384583,19526.2844252746,27126.9754285037
16359.4727895963,21089.1169457398,28407.4662013455
19516.87415425,27940.2191441735,41665.4389301061
61444.5837422675,77014.9511091173,98682.0148392183
53636.7129284438,64399.9237222871,77670.5396055898
