"5%","50%","95%"
23525.5906372817,28878.4615129471,36355.6244559375
25694.2937077303,30868.5251503045,37718.7773544476
30704.0792067831,38616.9458223609,50381.9798896393
62918.3731244082,78880.6234433318,101952.768199863
69229.6720331301,83059.5519623227,101173.004657379
18160.6341428462,22458.6940673863,28219.960277951
19962.7741194657,24250.571261304,30569.4094532226
28258.9660211158,35798.9479884346,46044.0501566086
73002.6890678274,86282.7747995112,103751.880987996
70220.4000241342,82955.8277368267,99670.5333262023
