"5%","50%","95%"
13454.489566965,16708.4206122355,21197.2998685826
15870.7655734453,20214.0747117038,26007.4064341828
19644.5217210305,25872.7071405269,34527.5251956796
77662.5464329423,95784.9213163868,120228.8315427
59575.7733261682,70290.5536929628,83816.8559656197
14129.6020137805,17465.3812541851,22122.6326530366
17568.7663800258,21599.2538931802,27389.376638805
22000.9213275879,27589.7753541745,35852.3796128366
81782.1617332845,99052.1726217638,123179.315344527
55551.5347997088,65688.5412453258,78211.9053972054
