"5%","50%","95%"
16637.5482506085,22420.9552106507,31879.1588859218
15813.1463790992,20806.8107586832,28999.9903875027
19562.3627098865,29606.2478041671,48752.735938581
54192.0990841635,70041.864890974,95482.7759621483
55584.062391361,66379.0366225946,79799.5023123327
19576.7741991483,26173.5334486779,37405.4421313283
14334.8238556438,20600.0199531585,31523.6041089647
21389.7732565207,31721.014754439,53891.9657363109
58366.248920447,74524.0221070086,103142.619762262
60587.7235638515,71701.7780152578,85771.6204474483
