"N_mean","N_median","N95","N05"
17574.1331815419,17236.4607378259,22937.2696410151,13404.5054011485
13409.2817475313,13144.1488112058,17846.4816724273,9866.33897598551
10675.85679353,10469.9986866535,14231.5475904281,7831.9891331272
9282.07420003909,9089.32594114415,12345.9263345248,6900.2026114546
8355.15504870776,8154.41742945941,11714.2892952143,5682.95076067686
8061.41888310891,7767.85406338647,11529.0722496123,5561.302265462
8503.60387246001,8150.79399671829,12921.747122748,5267.75451446751
9522.57846988057,9073.53674332643,15497.261926699,5029.4719048285
10999.9242409338,10427.5567521996,18118.4207714957,5855.20112697527
13209.7531480862,12341.848964927,20829.0738548905,8327.30835550853
