"N_mean","N_median","N95","N05"
7806.07123322971,7510.61740357279,11137.3025709086,5441.16813653502
1726.77519200092,1632.91569841806,2729.85709503925,1033.68972378699
5585.59587212934,5343.96318727088,8087.6068382118,3869.54141841065
5151.46020215219,4946.88130361948,7990.06365890857,3059.05819587562
4074.3470826917,3802.26209271449,6689.25691790814,2429.59999836841
4477.25195778276,4207.91093240574,7029.51050340466,2802.33768957657
7472.59663722285,7208.74698611985,10295.7994920074,5562.68879006541
8375.58234759817,8054.17097003751,13732.1919335547,4411.14512164232
10498.6004506716,10046.7456190167,17409.5394782796,5357.00487237175
13534.5824884063,12834.2571174321,20170.1326854537,9202.49509596729
