"N_mean","N_median","N95","N05"
11223.833417045,10921.3771286839,15212.6391164852,8255.57056953171
8406.4731422492,8127.4525928944,12080.3777303343,5688.42115963571
7022.54723376667,6762.198846876,10225.8848242432,4655.36748539545
7069.9300649127,6849.59720174522,9923.69535916656,4948.90249723615
7426.73704280919,7219.43914262711,10597.8340817073,4979.48397320787
7288.63209761899,7027.87023591151,10755.4967485286,4714.15685305414
6740.80205895547,6382.14225004476,10694.2471208434,3933.78377364704
6579.70930302408,6137.48883987208,11457.1823043566,3160.08556188185
6566.15232731838,5966.28351306319,12167.3757881915,2963.91303338292
6639.6931275073,5808.60799979984,12943.7988135187,3040.98408124368
