"N_mean","N_median","N95","N05"
5165.64943841297,4749.93000812893,10006.1669532348,1797.95169630816
5130.0649314006,4816.13470839715,8169.72303480231,3145.17742688249
4363.38155313948,4122.90517826488,6988.19559095814,2564.66491301937
4375.57389104242,4190.14792588705,6446.88135340424,2912.96288425559
3083.54552732558,2923.18190618464,4994.51974925376,1732.31492440967
2654.26256862851,2534.59738066675,3961.57257453378,1734.97965121774
2401.44257371014,2308.05244434761,3488.93148820589,1634.66662264358
1946.14279673221,1848.53011498421,3061.98630423857,1158.9929300114
1841.00089330075,1747.49882150301,2794.34558286211,1183.92806668003
1932.02483730464,1826.93228245052,2980.84916777706,1236.75283802641
