"N_mean","N_median","N95","N05"
6206.34830804689,6009.24869539392,8758.93155184287,4276.61880715114
3858.41952982878,3729.38942487966,5672.46554776189,2494.48129063461
2852.63569277015,2753.26707908395,4112.08011868795,1947.35633940079
3727.92155348855,3651.31029259655,4887.88988118286,2828.78237771919
3963.66577293395,3872.00163090083,5331.67497430626,2914.54486604415
4506.47473522591,4388.0693649368,6082.40865359381,3323.53075516396
3697.69476913161,3547.30168900416,5455.29918641713,2455.76642428176
5255.51266739592,5113.82812672053,7163.95925089909,3852.70000631087
7080.39898436325,6907.1529185044,11380.2072352007,3725.74812652419
9952.92460222396,9505.31362116545,14705.6281303964,6677.23610465522
